ID,Block,Area,Check,Severity,Status,EvidenceOrNotes
S013-001,S0.1,Unity Hub,Unity Hub estable abre correctamente,Critical,Pending,
S013-002,S0.1,Licencia,Licencia de Unity válida y activa,Critical,Pending,
S013-003,S0.1,Editor,Unity Editor 6000.3.18f1 instalado,Critical,Pending,
S013-004,S0.1,Módulos,Windows Build Support instalado,High,Pending,
S013-005,S0.1,IDE,IDE C# instalado y seleccionado,High,Pending,
S013-006,S0.2,Proyecto,Proyecto CartridgeAndCloud creado con Universal 3D,Critical,Pending,
S013-007,S0.2,Versión,ProjectVersion.txt indica 6000.3.18f1,Critical,Pending,
S013-008,S0.2,URP,Render Pipeline Asset URP asignado,Critical,Pending,
S013-009,S0.2,Consola,0 errores rojos tras importación,Critical,Pending,
S013-010,S0.2,Identidad,Company/Product/Version configurados,High,Pending,
S013-011,S0.2,Render,Color Space Linear,High,Pending,
S013-012,S0.2,Versionado,Visible Meta Files y Force Text,High,Pending,
S013-013,S0.2,Servicios,Servicios Cloud no inicializados,Medium,Pending,
S013-014,S0.2,Legado,No se importó contenido histórico,Critical,Pending,
S013-015,S0.3,Input,Input System instalado y backend New,Critical,Pending,
S013-016,S0.3,Navegación,AI Navigation instalado,High,Pending,
S013-017,S0.3,Localización,Localization instalado,High,Pending,
S013-018,S0.3,Testing,Test Framework instalado,High,Pending,
S013-019,S0.3,Paquetes,Sin pre-release en paquetes requeridos,Critical,Pending,
S013-020,S0.3,UPM,Sin scoped registries externos,High,Pending,
S013-021,S0.3,Lock,manifest.json y packages-lock.json válidos,Critical,Pending,
S013-022,S0.3,Reapertura,Proyecto reabre sin errores,Critical,Pending,
S013-023,S0.3,Evidencia,Informe automático generado,High,Pending,
